step,Index
篩,1
炒,2
煎,3
貼,4
烹,5
炸,6
熘,7
煸,8
熬,9
燴,10
燜,11
悶,12
燒,13
扒,14
汆,15
涮,16
煮,17
燉,18
煨,19
焐,20
揉成,21
蒸,22
弛,23
滷,24
醬,25
燻,26
烤,27
熗,28
炝,29
醃,30
中火,31
拌,32
拔絲,33
焗,34
煲,35
燙,36
舒肥,37
抓,38
切,39
煮沸,40
剁,41
磨,42
榨,43
凝固,44
浸,45
混合,46
勾芡,47
切碎,48
入味,49
爆香,50
倒入,51
均,52
烤箱,53
汆燙,54
爆,55
微波,56
沖,57
剝,58
壓碎,59
壓扁,60
搗,61
打散,62
浸泡,63
靜置,64
煮熟,65
打發,66
泡水,67
打蛋,68
切絲,69
冷凍,70
瀝乾,71
擠,72
撒上,73
撒,74
翻炒,75
灑上,76
淋上,77
過篩,78
蒸熟,79
打碎,80
碎,81
大火,82
揉,83
摔打,84
翻拌,85
震,86
撈,87
擀,88
按壓,89
抹,90
打,91
融化,92
捏,93
隔水加熱,94
切拌,95
發酵,96
脫模,97
糊化,98
排氣,99
水浴法,100
整形,101
預熱,102
切小塊,103
切丁,104
溶化,105
收口,106
炒熟,107
削皮,108
搓揉,109
打至,110
炒至,111
壓,112
裹,113
搓,114
按,115
收汁,116
打勻,117
切末,118
戳,119
滾圓,120
折,121
摺,122
油炸,123
悶煮,124
醃漬,125
挖,126
膨脹,127
壓平,128
醒,129
隔夜,130
漬,131
填入,132
秤,133
膜,134
烹煮,135
過濾,136
切開,137
攪勻,138
剪,139
嗆,140
凍,141
篩入,142
濾,143
切條,144
抓勻,145
刮,146
桿平,147
綁,148
磨成,149
抹平,150
撥,151
排出,152
油煎,153
搖晃,154
吸乾,155
剝皮,156
拌勻,157
剝殼,158
包裹,159
剁碎,160
煸炒,161
揉捏,162
灑,163
烘,164
切細,165
切花,166
桿開,167
氣炸,168
敲碎,169
搗成,170
密閉,171
撕,172
爆炒,173
拍打,174
震出,175
捏碎,176
壓實,177
搗碎,178
混拌,179
乳化,180
擀平,181
摔,182
煎炒,183
涼拌,184
泡開,185
紮,186
榨汁,187
研磨,188
畫上,189
壓力鍋,190
攪散,191
刨絲,192
擠壓,193
火烤,194
脫水,195
塞,196
沾上,197
拌匀,198
揉勻,199
